,flowS1-curr,prcpS1-1day,prcpS2-1day,prcpS3-1day,flowS1-1day,flowS2-1day,prcpS1-2day,prcpS2-2day,prcpS3-2day,flowS1-2day,flowS2-2day,prcpS1-3day,prcpS2-3day,prcpS3-3day,flowS1-3day,flowS2-3day
161,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
162,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
163,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
164,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
165,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
166,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
167,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
168,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
169,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
170,small,large,large,large,small,small,large,medium,medium,small,small,small,small,medium,small,small
171,small,large,small,large,small,small,large,large,large,small,small,large,medium,medium,small,small
172,small,small,small,small,small,small,large,small,large,small,small,large,large,large,small,small
173,small,small,small,small,small,small,small,small,small,small,small,large,small,large,small,small
174,small,small,large,medium,small,small,small,small,small,small,small,small,small,small,small,small
175,small,large,large,large,small,small,small,large,medium,small,small,small,small,small,small,small
176,small,large,small,small,small,small,large,large,large,small,small,small,large,medium,small,small
177,small,small,small,small,small,small,large,small,small,small,small,large,large,large,small,small
178,small,small,small,small,small,small,small,small,small,small,small,large,small,small,small,small
179,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
180,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
181,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
182,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
183,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
184,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
185,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
186,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
187,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
188,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
189,small,small,large,large,small,small,small,small,small,small,small,small,small,small,small,small
190,small,small,small,small,small,small,small,large,large,small,small,small,small,small,small,small
191,small,small,large,medium,small,small,small,small,small,small,small,small,large,large,small,small
192,small,medium,large,large,small,small,small,large,medium,small,small,small,small,small,small,small
193,small,large,small,medium,small,small,medium,large,large,small,small,small,large,medium,small,small
194,small,small,small,small,small,small,large,small,medium,small,small,medium,large,large,small,small
195,small,small,small,small,small,small,small,small,small,small,small,large,small,medium,small,small
196,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
197,small,medium,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
198,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
199,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
200,small,small,medium,medium,small,small,small,small,small,small,small,small,small,small,small,small
201,small,small,small,small,small,small,small,medium,medium,small,small,small,small,small,small,small
202,small,small,small,small,small,small,small,small,small,small,small,small,medium,medium,small,small
203,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
204,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
205,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
206,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
207,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small,small
